x,intensity
83.173983,0.00000000
83.143348,0.00000000
83.111770,0.00000000
83.083258,0.00360170
83.051876,0.00000000
83.022789,0.02324380
82.993185,0.00875868
82.962536,0.00903189
82.931766,0.00000000
82.903173,0.00011164
82.872407,0.00346788
82.842272,0.00889033
82.813160,0.00000000
82.784057,0.00000000
82.751889,0.00000000
82.723991,0.01790928
82.693443,0.00000000
82.664018,0.00886795
82.633830,0.00113332
82.602071,0.00000000
82.573655,0.00000000
82.542919,0.00279900
82.513948,0.00696030
82.482488,0.01076670
82.451778,0.00000000
82.423617,0.00704880
82.393355,0.00516706
82.363246,0.00000000
82.331852,0.00000000
82.301683,0.00133572
82.271682,0.00108072
82.242035,0.00000000
82.211942,0.00000000
82.181789,0.00000000
82.153401,0.00000000
82.121873,0.00000000
82.091908,0.00039585
82.063496,0.00000000
82.031938,0.00000000
82.003374,0.00000000
81.972384,0.00000000
81.941772,0.00968667
81.913290,0.00448400
81.881586,0.00091034
81.852966,0.00000000
81.822706,0.00000000
81.792750,0.00000000
81.763749,0.00000000
81.733367,0.01466265
81.702057,0.01191256
81.672783,0.00000000
81.641752,0.00616964
81.611654,0.00000000
81.583474,0.00802490
81.552814,0.00690760
81.523655,0.00000000
81.492311,0.00000000
81.462648,0.00869567
81.432413,0.00000000
81.403630,0.00000000
81.371465,0.00628111
81.343456,0.00000000
81.312672,0.00000000
81.283812,0.00000000
81.252791,0.00066506
81.222329,0.00000000
81.192320,0.01727603
81.163222,0.01393208
81.133204,0.00000000
81.103476,0.00764787
81.073498,0.00000000
81.042843,0.00103665
81.013308,0.00149614
80.982221,0.00264702
80.952154,0.01465918
80.923467,0.00000000
80.891568,0.00149473
80.862996,0.00413989
80.833098,0.00000000
80.802180,0.01089687
80.771510,0.00880305
80.742578,0.00000000
80.712191,0.00000000
80.683469,0.00000000
80.652147,0.00000000
80.622986,0.00000000
80.592915,0.00648689
80.562583,0.00000000
80.532694,0.00000000
80.501417,0.00000000
80.472740,0.00878107
80.441529,0.00415920
80.411772,0.00471423
80.383086,0.00000000
80.353018,0.00634495
80.323057,0.01239681
80.292753,0.00000000
80.263114,0.00502833
80.231297,0.00744627
80.202831,0.00084475
80.171634,0.00000000
80.142274,0.00000000
80.112716,0.01043757
80.083603,0.00164024
80.053278,0.00000000
80.021287,0.00000000
79.992360,0.00000000
79.962520,0.00250701
79.933013,0.00888645
79.901428,0.01847419
79.872304,0.00000000
79.841644,0.00409116
79.812837,0.00000000
79.783412,0.00488574
79.752259,0.00337394
79.722154,0.01190807
79.691671,0.00000000
79.662682,0.00043256
79.632972,0.00000000
79.603279,0.00399704
79.571322,0.00292592
79.541401,0.02326493
79.513300,0.01327509
79.483164,0.00638428
79.451708,0.00079693
79.422275,0.00000000
79.391281,0.00000000
79.362880,0.00000000
79.332935,0.00798275
79.302482,0.00000000
79.272563,0.00000000
79.242927,0.00000000
79.211967,0.00000000
79.182268,0.00000000
79.152177,0.00528780
79.123103,0.00000000
79.093471,0.00000000
79.062931,0.00000000
79.032753,0.00000000
79.001751,0.00494274
78.973074,0.00000000
78.941631,0.01261959
78.913322,0.00431904
78.882320,0.00000000
78.852553,0.00000000
78.822116,0.00902288
78.792457,0.00000000
78.763266,0.00000000
78.732549,0.01198509
78.702022,0.00000000
78.672340,0.00810179
78.643323,0.00000000
78.611902,0.00062102
78.581847,0.00694788
78.553101,0.00763190
78.523075,0.00000000
78.491925,0.01463791
78.461099,0.02696113
78.431753,0.00000000
78.401777,0.00000000
78.372146,0.00695922
78.342799,0.02101390
78.311860,0.00301870
78.281902,0.00000000
78.251116,0.01205155
78.221600,0.00654243
78.191581,0.00949390
78.162349,0.00442525
78.132545,0.00000000
78.103252,0.00718744
78.072196,0.00215896
78.042428,0.00000000
78.011513,0.00000000
77.981261,0.00063368
77.951729,0.01590035
77.920958,0.00000000
77.891923,0.00330065
77.862380,0.00160159
77.832721,0.00000000
77.802010,0.00000000
77.771728,0.00000000
77.740950,0.00773997
77.712311,0.00000000
77.682119,0.00405861
77.651710,0.00000000
77.622264,0.00000000
77.592319,0.00715686
77.562836,0.00047156
77.533124,0.00033597
77.502006,0.01222232
77.471845,0.00185184
77.441195,0.02132689
77.412294,0.00000000
77.381716,0.01674053
77.352446,0.00000000
77.321481,0.01966936
77.292270,0.01588086
77.261123,0.00904055
77.232013,0.00878935
77.202748,0.00591737
77.171522,0.00000000
77.141932,0.00000000
77.112232,0.00000000
77.081561,0.00000000
77.052149,0.00846359
77.021459,0.00000000
76.991116,0.00208005
76.962132,0.00000000
76.932665,0.00691924
76.902828,0.00000000
76.870730,0.00591091
76.841580,0.00000000
76.812297,0.00680055
76.781265,0.00753564
76.752505,0.00190678
76.721503,0.00771824
76.691954,0.00000000
76.661245,0.00000000
76.631733,0.00000000
76.600988,0.00000000
76.572496,0.00713778
76.541873,0.00621383
76.512365,0.00000000
76.480861,0.00424986
76.452742,0.00000000
76.422972,0.00727892
76.391822,0.00008410
76.360684,0.00000000
76.332570,0.00000000
76.302024,0.00729006
76.271688,0.00000000
76.241503,0.00000000
76.211021,0.00000000
76.182653,0.01335847
76.151814,0.00079921
76.121976,0.00468434
76.092831,0.00000000
76.061774,0.00000000
76.031303,0.00000000
76.002482,0.00000000
75.971825,0.00000000
75.940735,0.01785343
75.912610,0.00000000
75.881873,0.00000000
75.851646,0.00155367
75.820866,0.00695147
75.790550,0.00000000
75.761700,0.00051458
75.732596,0.00000000
75.700631,0.00000000
75.670947,0.01188977
75.641533,0.01245244
75.611904,0.01350835
75.580774,0.00320833
75.550845,0.00000000
75.522582,0.01979783
75.491779,0.00628827
75.462836,0.00000000
75.431439,0.00000000
75.402581,0.00162867
75.372687,0.00084319
75.340651,0.00865649
75.312251,0.01386038
75.281966,0.00486301
75.251289,0.00000000
75.221506,0.01404579
75.190564,0.00000000
75.160799,0.00207751
75.131020,0.00000000
75.102345,0.00374755
75.070979,0.00000000
75.042646,0.00000000
75.010654,0.00450194
74.981367,0.00000000
74.950626,0.00690171
74.922281,0.02250002
74.892624,0.00000000
74.862284,0.00000000
74.830431,0.01063699
74.800995,0.00000000
74.772468,0.00000000
74.741192,0.00000000
74.710704,0.00927156
74.681295,0.01578799
74.652488,0.00000000
74.622669,0.01328354
74.592269,0.00000000
74.560984,0.00113000
74.531125,0.00124224
74.500991,0.00000000
74.470969,0.00584102
74.440801,0.00425815
74.410556,0.00000000
74.380541,0.00000000
74.351686,0.01761340
74.320626,0.00210102
74.292146,0.01183978
74.260799,0.00127731
74.230837,0.00000000
74.201873,0.00838921
74.171712,0.00000000
