x,intensity
239.050798,0.00000000
238.969428,0.00000000
238.893177,0.03796738
238.818041,0.00000000
238.736231,0.00000000
238.654948,0.00585503
238.578802,0.00000000
238.503044,0.06172452
238.429601,0.00000000
238.346205,0.00000000
238.269201,0.00000000
238.192744,0.00500584
238.113270,0.00611688
238.035825,0.00000000
237.955842,0.00000000
237.879303,0.00000000
237.804353,0.00441132
237.720846,0.00611594
237.644508,0.02354050
237.570559,0.05546865
237.490616,0.00000000
237.410261,0.00000000
237.330862,0.00000000
237.257056,0.00000000
237.182182,0.02238692
237.097194,0.02892288
237.018576,0.00000000
236.946854,0.00000000
236.862931,0.05371873
236.785635,0.03212284
236.713094,0.04427964
236.629400,0.00000000
236.555153,0.00000000
236.475038,0.00000000
236.403894,0.03651311
236.317233,0.00941966
236.240790,0.00003885
236.161432,0.00000000
236.084476,0.00000000
236.013969,0.00000000
235.930196,0.00651440
235.855436,0.00000000
235.774055,0.02689900
235.701178,0.00000000
235.623734,0.05257821
235.539975,0.00000000
235.461854,0.00000000
235.384749,0.00000000
235.312417,0.00000000
235.233309,0.01718181
235.156177,0.02462228
235.073532,0.01259173
234.999635,0.00387028
234.916028,0.03799957
234.840859,0.00354764
234.761616,0.00000000
234.685455,0.00000000
234.605909,0.00734208
234.531976,0.06414744
234.452235,0.04792874
234.373080,0.00000000
234.292323,0.03701809
234.221218,0.00000000
234.140587,0.00000000
234.059729,0.00000000
233.983767,0.00000000
233.904952,0.00000000
233.823844,0.04331663
233.750821,0.02655318
233.669781,0.00000000
233.595548,0.00000000
233.514616,0.00000000
233.440882,0.01909528
233.357610,0.00000000
233.280544,0.06627051
233.203662,0.00000000
233.129560,0.00000000
233.045808,0.00000000
232.974637,0.00000000
232.896511,0.01820819
232.817811,0.04519570
232.735220,0.08116566
232.655729,0.01055323
232.581195,0.03177318
232.500524,0.00809247
232.429009,0.00000000
232.347232,0.01734171
232.269002,0.01263218
232.188352,0.04689053
232.112019,0.01176658
232.037359,0.00000000
231.961335,0.01419977
231.876688,0.00000000
231.806049,0.00000000
231.726721,0.06719092
231.642964,0.03041010
231.567675,0.00000000
231.491708,0.00000000
231.414652,0.03546859
231.334853,0.00138550
231.255367,0.06828371
231.181984,0.00000000
231.100989,0.00617983
231.027189,0.03526859
230.945990,0.00093373
230.871744,0.00000000
230.788988,0.02936915
230.714770,0.03943169
230.632162,0.08498365
230.553180,0.00379714
230.476908,0.04884837
